"GPOName;""SettingCategory"";""SettingPath"";""SettingName"";""SettingStatus"";""Type"";""Statement"";""Value"""
"Default Domain Controllers Policy;""Security Option"";""Reg Path: MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\EnableSecuritySignature"";""Microsoft network server: Digitally sign communications (if client agrees)"";""true"";;;"
"Default Domain Controllers Policy;""Security Option"";""Reg Path: MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\RequireSecuritySignature"";""Microsoft network server: Digitally sign communications (always)"";""true"";;;"
"Default Domain Controllers Policy;""Security Option"";""Reg Path: MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters\RequireSignOrSeal"";""Domain member: Digitally encrypt or sign secure channel data (always)"";""true"";;;"
"Default Domain Controllers Policy;""User Right Assignement"";;""SeAssignPrimaryTokenPrivilege"";""NT AUTHORITY\NETWORK SERVICE"";;;""SID: S-1-5-20"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeAssignPrimaryTokenPrivilege"";""NT AUTHORITY\LOCAL SERVICE"";;;""SID: S-1-5-19"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeAuditPrivilege"";""NT AUTHORITY\NETWORK SERVICE"";;;""SID: S-1-5-20"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeAuditPrivilege"";""NT AUTHORITY\LOCAL SERVICE"";;;""SID: S-1-5-19"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeBackupPrivilege"";""BUILTIN\Server Operators"";;;""SID: S-1-5-32-549"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeBackupPrivilege"";""BUILTIN\Backup Operators"";;;""SID: S-1-5-32-551"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeBackupPrivilege"";""BUILTIN\Administrators"";;;""SID: S-1-5-32-544"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeBatchLogonRight"";""BUILTIN\Performance Log Users"";;;""SID: S-1-5-32-559"""
"Default Domain Controllers Policy;""User Right Assignement"";;""SeBatchLogonRight"";""BUILTIN\Backup Operators"";;;""SID: S-1-5-32-551"""
