"Action";"Name";"GPOStatus";"NoSettings";"UserSettings";"ComputerSettings";"Linked";"LinkingError";"Links";"GPOHasTargets";"Targets";"WmiFilters"
"To Delete";"HAD-Secure-NetLogon";"UserSettingsDisabled";"False";"False";"True";"True";"False";"oswald.com";"True";"G-S-T0-GPO_HAD-Secure-NetLogon_APPLY";
"To Delete";"HAD-UAC-Enabled";"UserSettingsDisabled";"False";"False";"True";"True";"False";"oswald.com";"True";"G-S-T0-GPO_HAD-UAC-Enabled_APPLY";
"To Delete";"HAD-NTP-PDC-Configuration";"AllSettingsEnabled";"False";"False";"True";"True";"False";"oswald.com/Domain Controllers";"True";"Authenticated Users";"Microsoft.GroupPolicy.WmiFilter"
"To Delete";"HAD-Windows-Defender-Config";"UserSettingsDisabled";"False";"False";"True";"True";"False";"oswald.com";"True";"G-S-T0-GPO_HAD-Windows-Defender-Config_APPLY";
"To Delete";"HAD-WinRM-Basic-Digest-Auth-Disabled";"UserSettingsDisabled";"False";"False";"True";"True";"False";"oswald.com";"True";"G-S-T0-GPO_HAD-WinRM-Basic-Digest-Auth-Disabled_APPLY";
"To Delete";"HAD-MSLive-Accounts-Disabled";"UserSettingsDisabled";"False";"False";"True";"False";"False";;"True";"G-S-T0-GPO_HAD-MSLive-Acct-Disabled_APPLY";
"To Delete";"HAD-Print-Spooler-Disabled";"UserSettingsDisabled";"False";"False";"True";"True";"False";"oswald.com";"True";"G-S-T0-GPO_HAD-Print-Spooler-Disabled_APPLY";"Microsoft.GroupPolicy.WmiFilter"
"To Delete";"HAD-FIPS-Enabled";"AllSettingsDisabled";"False";"False";"True";"True";"False";"oswald.com";"True";"G-S-T0-GPO_HAD-FIPS-Enabled_APPLY";
"To Delete";"HAD-LoginRestrictions-T2";"UserSettingsDisabled";"False";"False";"True";"True";"True";"oswald.com/OZ_T12|oswald.com/Provisioning/Computers";"True";"G-S-T0-GPO_HAD-LoginRestrictions-T2_APPLY|Authenticated Users";"Microsoft.GroupPolicy.WmiFilter"
"To Delete";"HAD-Bitlocker-TpmOnly-Win10-11";"UserSettingsDisabled";"False";"False";"True";"True";"False";"oswald.com";"True";"G-S-T0-GPO_HAD-Bitlocker-TpmOnly-Win10-11_APPLY";"Microsoft.GroupPolicy.WmiFilter"
"To Delete";"HAD-LocalAdmins-T0-Wks";"UserSettingsDisabled";"False";"False";"True";"True";"False";"oswald.com/OZ_T0";"True";"G-S-T0-GPO_HAD-LocAdmins-T0-Wks_APPLY|Authenticated Users";"Microsoft.GroupPolicy.WmiFilter"
