"GPOName";"SettingCategory";"SettingPath";"SettingName";"SettingStatus";"Type";"Statement";"Value"
"Default Domain Policy";"Account Settings";"Password";"ClearTextPassword";;;;"false"
"Default Domain Policy";"Account Settings";"Account Lockout";"LockoutBadCount";;;;"0"
"Default Domain Policy";"Account Settings";"Password";"MaximumPasswordAge";;;;"42"
"Default Domain Policy";"Account Settings";"Password";"MinimumPasswordAge";;;;"1"
"Default Domain Policy";"Account Settings";"Password";"MinimumPasswordLength";;;;"7"
"Default Domain Policy";"Account Settings";"Password";"PasswordComplexity";;;;"true"
"Default Domain Policy";"Account Settings";"Password";"PasswordHistorySize";;;;"24"
"Default Domain Policy";"Account Settings";"Kerberos";"MaxClockSkew";;;;"5"
"Default Domain Policy";"Account Settings";"Kerberos";"MaxRenewAge";;;;"7"
"Default Domain Policy";"Account Settings";"Kerberos";"MaxServiceAge";;;;"600"
"Default Domain Policy";"Account Settings";"Kerberos";"MaxTicketAge";;;;"10"
"Default Domain Policy";"Account Settings";"Kerberos";"TicketValidateClient";;;;"true"
"Default Domain Policy";"Security Option";"Reg Path: MACHINE\System\CurrentControlSet\Control\Lsa\NoLMHash";"Network security: Do not store LAN Manager hash value on next password change";"true";;;
"Default Domain Policy";"Security Option";;"ForceLogoffWhenHourExpire";"Disabled";;;
"Default Domain Policy";"Security Option";;"LSAAnonymousNameLookup";"Disabled";;;
