"GPOName";"SettingCategory";"SettingPath";"SettingName";"SettingStatus";"Type";"Statement";"Value"
"HAD-Auto-Update-S3-Thu-1h-Srv";"Administrative Templates";"Windows Components/Windows Update";"Always automatically restart at the scheduled time";"Enabled";"Numeric";"System.Object[]";
"HAD-Auto-Update-S3-Thu-1h-Srv";"Administrative Templates";"Windows Components/Windows Update";"Configure Automatic Updates";"Enabled";"Checkbox";"Install during automatic maintenance";"Disabled"
"HAD-Auto-Update-S3-Thu-1h-Srv";"Administrative Templates";"Windows Components/Windows Update";"Configure Automatic Updates";"Enabled";"Checkbox";"Every week";"Disabled"
"HAD-Auto-Update-S3-Thu-1h-Srv";"Administrative Templates";"Windows Components/Windows Update";"Configure Automatic Updates";"Enabled";"Checkbox";"First week of the month";"Disabled"
"HAD-Auto-Update-S3-Thu-1h-Srv";"Administrative Templates";"Windows Components/Windows Update";"Configure Automatic Updates";"Enabled";"Checkbox";"Second week of the month";"Disabled"
"HAD-Auto-Update-S3-Thu-1h-Srv";"Administrative Templates";"Windows Components/Windows Update";"Configure Automatic Updates";"Enabled";"Checkbox";"Third week of the month";"Enabled"
"HAD-Auto-Update-S3-Thu-1h-Srv";"Administrative Templates";"Windows Components/Windows Update";"Configure Automatic Updates";"Enabled";"Checkbox";"Fourth week of the month";"Disabled"
"HAD-Auto-Update-S3-Thu-1h-Srv";"Administrative Templates";"Windows Components/Windows Update";"Configure Automatic Updates";"Enabled";"Checkbox";"Install updates for other Microsoft products";"Enabled"
"HAD-Auto-Update-S3-Thu-1h-Srv";"Administrative Templates";"Windows Components/Windows Update";"Configure Automatic Updates";"Enabled";"DropDownList";"Configure automatic updating:";"4 - Auto download and schedule the install"
"HAD-Auto-Update-S3-Thu-1h-Srv";"Administrative Templates";"Windows Components/Windows Update";"Configure Automatic Updates";"Enabled";"DropDownList";"Scheduled install day: ";"5 - Every Thursday"
"HAD-Auto-Update-S3-Thu-1h-Srv";"Administrative Templates";"Windows Components/Windows Update";"Configure Automatic Updates";"Enabled";"DropDownList";"Scheduled install time:";"00:00"
