"GPOName";"SettingCategory";"SettingPath";"SettingName";"SettingStatus";"Type";"Statement";"Value"
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Delivery Optimization";"Absolute Max Cache Size (in GB)";"Enabled";"Numeric";"The default value is 10GB";
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Delivery Optimization";"Allow uploads while the device is on battery while under set Battery level (percentage)";"Enabled";"Numeric";"The default value is 0 (unlimited)";
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Delivery Optimization";"Download Mode";"Enabled";"DropDownList";"Download Mode:";"LAN (1)"
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Delivery Optimization";"Enable Peer Caching while the device connects via VPN";"Disabled";;;
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Delivery Optimization";"Max Cache Size (percentage)";"Enabled";"Numeric";"The default value is 20%";
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Delivery Optimization";"Minimum disk size allowed to use Peer Caching (in GB)";"Enabled";"Numeric";"The default value is 32GB";
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Delivery Optimization";"Select a method to restrict Peer Selection";"Enabled";"DropDownList";"Restrict Peer Selection By:";"Subnet"
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Maintenance Scheduler";"Automatic Maintenance Activation Boundary";"Enabled";;;
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Allow Automatic Updates immediate installation";"Enabled";;;
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Allow updates to be downloaded automatically over metered connections";"Disabled";;;
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Always automatically restart at the scheduled time";"Disabled";;;
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Automatic Updates detection frequency";"Enabled";"Numeric";"Check for updates at the following";
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Configure Automatic Updates";"Enabled";"Checkbox";"Install during automatic maintenance";"Disabled"
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Configure Automatic Updates";"Enabled";"Checkbox";"Every week";"Enabled"
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Configure Automatic Updates";"Enabled";"Checkbox";"First week of the month";"Enabled"
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Configure Automatic Updates";"Enabled";"Checkbox";"Second week of the month";"Enabled"
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Configure Automatic Updates";"Enabled";"Checkbox";"Third week of the month";"Enabled"
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Configure Automatic Updates";"Enabled";"Checkbox";"Fourth week of the month";"Enabled"
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Configure Automatic Updates";"Enabled";"Checkbox";"Install updates for other Microsoft products";"Disabled"
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Configure Automatic Updates";"Enabled";"DropDownList";"Configure automatic updating:";"4 - Auto download and schedule the install"
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Configure Automatic Updates";"Enabled";"DropDownList";"Scheduled install day: ";"5 - Every Thursday"
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Configure Automatic Updates";"Enabled";"DropDownList";"Scheduled install time:";"13:00"
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Configure auto-restart reminder notifications for updates";"Enabled";"DropDownList";"Period (min): ";"60"
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Configure auto-restart required notification for updates";"Enabled";"DropDownList";"Method: ";"2 - User Action"
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Configure auto-restart warning notifications schedule for updates";"Enabled";"DropDownList";"Reminder (hours): ";"4"
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Configure auto-restart warning notifications schedule for updates";"Enabled";"DropDownList";"Warning (mins): ";"15"
"HAD-Auto-Update-Win10-11";"Administrative Templates";"Windows Components/Windows Update";"Display options for update notifications";"Enabled";"DropDownList";"Specify the update notifications display options :";"0 (default) – Default OS Windows Update notifications"
