"GPOName";"SettingCategory";"SettingPath";"SettingName";"SettingStatus";"Type";"Statement";"Value"
"HAD-Bitlocker-TpmPin-Win10-11";"Scripts";;"HardenAD_Bitlocker.bat";;"Startup";"Order: 0";"PSNotConfigured"
"HAD-Bitlocker-TpmPin-Win10-11";"Folders";"C:\Windows\HardenAD";"HardenAD";;;"Order: 1";"uid: {0848139F-39B4-4AA2-9A8C-18C2C8471585}"
"HAD-Bitlocker-TpmPin-Win10-11";"Folders";"C:\Windows\HardenAD\BitLocker-TPMandPIN";"BitLocker-TPMandPIN";;;"Order: 2";"uid: {47889791-2033-4FDC-9689-028B60AC1CFC}"
"HAD-Bitlocker-TpmPin-Win10-11";"Folders";"C:\Windows\HardenAD\Logs";"Logs";;;"Order: 3";"uid: {3934462E-F3EA-4B96-8B35-A5627E5F9918}"
"HAD-Bitlocker-TpmPin-Win10-11";"Scheduled Task";;"HardenAD - Bitlocker - Activation";;;"RunAs: NT AUTHORITY\System";"uid: {E956E623-F7C9-4DC1-8C9F-D808D8EF9952}"
"HAD-Bitlocker-TpmPin-Win10-11";"Administrative Templates";"Windows Components/BitLocker Drive Encryption";"Choose drive encryption method and cipher strength (Windows 10 [Version 1511] and later)";"Enabled";"DropDownList";"Select the encryption method for operating system drives:";"XTS-AES 256-bit"
"HAD-Bitlocker-TpmPin-Win10-11";"Administrative Templates";"Windows Components/BitLocker Drive Encryption";"Choose drive encryption method and cipher strength (Windows 10 [Version 1511] and later)";"Enabled";"DropDownList";"Select the encryption method for fixed data drives:";"XTS-AES 256-bit"
"HAD-Bitlocker-TpmPin-Win10-11";"Administrative Templates";"Windows Components/BitLocker Drive Encryption";"Choose drive encryption method and cipher strength (Windows 10 [Version 1511] and later)";"Enabled";"DropDownList";"Select the encryption method for removable data drives:";"XTS-AES 256-bit"
"HAD-Bitlocker-TpmPin-Win10-11";"Administrative Templates";"Windows Components/BitLocker Drive Encryption";"Choose drive encryption method and cipher strength (Windows 8, Windows Server 2012, Windows 8.1, Windows Server 2012 R2, Windows 10 [Version 1507])";"Enabled";"DropDownList";"Select the encryption method:";"AES 256-bit"
"HAD-Bitlocker-TpmPin-Win10-11";"Administrative Templates";"Windows Components/BitLocker Drive Encryption";"Choose drive encryption method and cipher strength (Windows Vista, Windows Server 2008, Windows 7, Windows Server 2008 R2)";"Enabled";"DropDownList";"Select the encryption method:";"AES 256-bit"
"HAD-Bitlocker-TpmPin-Win10-11";"Administrative Templates";"Windows Components/BitLocker Drive Encryption";"Disable new DMA devices when this computer is locked";"Enabled";;;
"HAD-Bitlocker-TpmPin-Win10-11";"Administrative Templates";"Windows Components/BitLocker Drive Encryption/Fixed Data Drives";"Choose how BitLocker-protected fixed drives can be recovered";"Enabled";"Checkbox";"Allow data recovery agent";"Enabled"
"HAD-Bitlocker-TpmPin-Win10-11";"Administrative Templates";"Windows Components/BitLocker Drive Encryption/Fixed Data Drives";"Choose how BitLocker-protected fixed drives can be recovered";"Enabled";"Checkbox";"Omit recovery options from the BitLocker setup wizard";"Disabled"
"HAD-Bitlocker-TpmPin-Win10-11";"Administrative Templates";"Windows Components/BitLocker Drive Encryption/Fixed Data Drives";"Choose how BitLocker-protected fixed drives can be recovered";"Enabled";"Checkbox";"Save BitLocker recovery information to AD DS for fixed data drives";"Enabled"
"HAD-Bitlocker-TpmPin-Win10-11";"Administrative Templates";"Windows Components/BitLocker Drive Encryption/Fixed Data Drives";"Choose how BitLocker-protected fixed drives can be recovered";"Enabled";"Checkbox";"Do not enable BitLocker until recovery information is stored to AD DS for fixed data drives";"Enabled"
"HAD-Bitlocker-TpmPin-Win10-11";"Administrative Templates";"Windows Components/BitLocker Drive Encryption/Fixed Data Drives";"Choose how BitLocker-protected fixed drives can be recovered";"Enabled";"DropDownList";"Configure user storage of BitLocker recovery information:";"Allow 48-digit recovery password"
"HAD-Bitlocker-TpmPin-Win10-11";"Administrative Templates";"Windows Components/BitLocker Drive Encryption/Fixed Data Drives";"Choose how BitLocker-protected fixed drives can be recovered";"Enabled";"DropDownList";"Configure user storage of BitLocker recovery information:";"Allow 256-bit recovery key"
"HAD-Bitlocker-TpmPin-Win10-11";"Administrative Templates";"Windows Components/BitLocker Drive Encryption/Fixed Data Drives";"Choose how BitLocker-protected fixed drives can be recovered";"Enabled";"DropDownList";"Configure storage of BitLocker recovery information to AD DS:";"Backup recovery passwords and key packages"
"HAD-Bitlocker-TpmPin-Win10-11";"Administrative Templates";"Windows Components/BitLocker Drive Encryption/Fixed Data Drives";"Configure use of passwords for fixed data drives";"Disabled";;;
"HAD-Bitlocker-TpmPin-Win10-11";"Administrative Templates";"Windows Components/BitLocker Drive Encryption/Fixed Data Drives";"Enforce drive encryption type on fixed data drives";"Enabled";"DropDownList";"Select the encryption type:";"Used Space Only encryption"
