"GPOName";"SettingCategory";"SettingPath";"SettingName";"SettingStatus";"Type";"Statement";"Value"
"HAD-LoginRestrictions-T0";"User Right Assignement";;"SeDenyBatchLogonRight";"OZ\L-S-T2L";;;"SID: S-1-5-21-1502320860-189160106-1795443177-1155"
"HAD-LoginRestrictions-T0";"User Right Assignement";;"SeDenyBatchLogonRight";"OZ\L-S-T2";;;"SID: S-1-5-21-1502320860-189160106-1795443177-1150"
"HAD-LoginRestrictions-T0";"User Right Assignement";;"SeDenyBatchLogonRight";"OZ\L-S-T1L";;;"SID: S-1-5-21-1502320860-189160106-1795443177-1152"
"HAD-LoginRestrictions-T0";"User Right Assignement";;"SeDenyBatchLogonRight";"OZ\L-S-T1";;;"SID: S-1-5-21-1502320860-189160106-1795443177-1137"
"HAD-LoginRestrictions-T0";"User Right Assignement";;"SeDenyInteractiveLogonRight";"OZ\L-S-T2L";;;"SID: S-1-5-21-1502320860-189160106-1795443177-1155"
"HAD-LoginRestrictions-T0";"User Right Assignement";;"SeDenyInteractiveLogonRight";"OZ\L-S-T2";;;"SID: S-1-5-21-1502320860-189160106-1795443177-1150"
"HAD-LoginRestrictions-T0";"User Right Assignement";;"SeDenyInteractiveLogonRight";"OZ\L-S-T1L";;;"SID: S-1-5-21-1502320860-189160106-1795443177-1152"
"HAD-LoginRestrictions-T0";"User Right Assignement";;"SeDenyInteractiveLogonRight";"OZ\L-S-T1";;;"SID: S-1-5-21-1502320860-189160106-1795443177-1137"
"HAD-LoginRestrictions-T0";"User Right Assignement";;"SeDenyNetworkLogonRight";"OZ\L-S-T2L";;;"SID: S-1-5-21-1502320860-189160106-1795443177-1155"
"HAD-LoginRestrictions-T0";"User Right Assignement";;"SeDenyNetworkLogonRight";"OZ\L-S-T2";;;"SID: S-1-5-21-1502320860-189160106-1795443177-1150"
"HAD-LoginRestrictions-T0";"User Right Assignement";;"SeDenyNetworkLogonRight";"OZ\L-S-T1L";;;"SID: S-1-5-21-1502320860-189160106-1795443177-1152"
"HAD-LoginRestrictions-T0";"User Right Assignement";;"SeDenyNetworkLogonRight";"OZ\L-S-T1";;;"SID: S-1-5-21-1502320860-189160106-1795443177-1137"
"HAD-LoginRestrictions-T0";"User Right Assignement";;"SeDenyRemoteInteractiveLogonRight";"OZ\L-S-T2L";;;"SID: S-1-5-21-1502320860-189160106-1795443177-1155"
"HAD-LoginRestrictions-T0";"User Right Assignement";;"SeDenyRemoteInteractiveLogonRight";"OZ\L-S-T2";;;"SID: S-1-5-21-1502320860-189160106-1795443177-1150"
"HAD-LoginRestrictions-T0";"User Right Assignement";;"SeDenyRemoteInteractiveLogonRight";"OZ\L-S-T1L";;;"SID: S-1-5-21-1502320860-189160106-1795443177-1152"
"HAD-LoginRestrictions-T0";"User Right Assignement";;"SeDenyRemoteInteractiveLogonRight";"OZ\L-S-T1";;;"SID: S-1-5-21-1502320860-189160106-1795443177-1137"
"HAD-LoginRestrictions-T0";"User Right Assignement";;"SeDenyServiceLogonRight";"OZ\L-S-T2L";;;"SID: S-1-5-21-1502320860-189160106-1795443177-1155"
"HAD-LoginRestrictions-T0";"User Right Assignement";;"SeDenyServiceLogonRight";"OZ\L-S-T2";;;"SID: S-1-5-21-1502320860-189160106-1795443177-1150"
"HAD-LoginRestrictions-T0";"User Right Assignement";;"SeDenyServiceLogonRight";"OZ\L-S-T1L";;;"SID: S-1-5-21-1502320860-189160106-1795443177-1152"
"HAD-LoginRestrictions-T0";"User Right Assignement";;"SeDenyServiceLogonRight";"OZ\L-S-T1";;;"SID: S-1-5-21-1502320860-189160106-1795443177-1137"
