"GPOName";"SettingCategory";"SettingPath";"SettingName";"SettingStatus";"Type";"Statement";"Value"
"HAD-QwantSearch";"Administrative Templates";"Brave/Default search provider";"Default search provider icon";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Brave/Default search provider";"Default search provider name";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Brave/Default search provider";"Default search provider new tab page URL";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Brave/Default search provider";"Default search provider search URL";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Brave/Default search provider";"Default search provider suggest URL";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Brave/Default search provider";"Enable the default search provider";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Brave/Startup, Home page and New Tab page";"Configure the home page URL";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Brave/Startup, Home page and New Tab page";"Configure the New Tab page URL";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Google/Google Chrome/Default search provider";"Default search provider icon";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Google/Google Chrome/Default search provider";"Default search provider name";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Google/Google Chrome/Default search provider";"Default search provider new tab page URL";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Google/Google Chrome/Default search provider";"Default search provider search URL";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Google/Google Chrome/Default search provider";"Default search provider suggest URL";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Google/Google Chrome/Default search provider";"Enable the default search provider";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Google/Google Chrome/Startup, Home page and New Tab page";"Configure the home page URL";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Google/Google Chrome/Startup, Home page and New Tab page";"Configure the New Tab page URL";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Microsoft Edge/Default search provider";"Default search provider name";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Microsoft Edge/Default search provider";"Default search provider search URL";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Microsoft Edge/Default search provider";"Default search provider URL for suggestions";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Microsoft Edge/Default search provider";"Enable the default search provider";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Microsoft Edge/Startup, home page and new tab page";"Configure the home page URL";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Microsoft Edge/Startup, home page and new tab page";"Configure the new tab page URL";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Mozilla/Firefox/Home page";"Start Page";"Enabled";"DropDownList";;"Homepage"
"HAD-QwantSearch";"Administrative Templates";"Mozilla/Firefox/Home page";"URL for Home page";"Enabled";"Checkbox";"Don't allow the homepage to be changed.";"Disabled"
"HAD-QwantSearch";"Administrative Templates";"Mozilla/Firefox/Search";"Default Search Engine";"Enabled";;;
"HAD-QwantSearch";"Administrative Templates";"Mozilla/Firefox/Search";"Search Engine One";"Enabled";"DropDownList";"Method:";"GET"
