"GPOName";"SettingCategory";"SettingPath";"SettingName";"SettingStatus";"Type";"Statement";"Value"
"HAD-Security-Logs";"Audit";;"AuditAccountLogon";"Success & Failure";;;
"HAD-Security-Logs";"Audit";;"AuditAccountManage";"Success & Failure";;;
"HAD-Security-Logs";"Audit";;"AuditDSAccess";"Success & Failure";;;
"HAD-Security-Logs";"Audit";;"AuditLogonEvents";"Success & Failure";;;
"HAD-Security-Logs";"Audit";;"AuditObjectAccess";"Success & Failure";;;
"HAD-Security-Logs";"Audit";;"AuditPolicyChange";"Success & Failure";;;
"HAD-Security-Logs";"Audit";;"AuditPrivilegeUse";"Success & Failure";;;
"HAD-Security-Logs";"Audit";;"AuditProcessTracking";"Success & Failure";;;
"HAD-Security-Logs";"Audit";;"AuditSystemEvents";"Success & Failure";;;
"HAD-Security-Logs";"Event Log";;"AuditLogRetentionPeriod";;"Application";;"0"
"HAD-Security-Logs";"Event Log";;"AuditLogRetentionPeriod";;"System";;"0"
"HAD-Security-Logs";"Event Log";;"AuditLogRetentionPeriod";;"Security";;"0"
"HAD-Security-Logs";"Event Log";;"MaximumLogSize";;"Security";;"4194240"
"HAD-Security-Logs";"Security Option";"Reg Path: MACHINE\System\CurrentControlSet\Control\Lsa\AuditBaseObjects";"Audit: Audit the access of global system objects";"false";;;
"HAD-Security-Logs";"Security Option";"Reg Path: MACHINE\System\CurrentControlSet\Control\Lsa\CrashOnAuditFail";"Audit: Shut down system immediately if unable to log security audits";"false";;;
"HAD-Security-Logs";"Security Option";"Reg Path: MACHINE\System\CurrentControlSet\Control\Lsa\SCENoApplyLegacyAuditPolicy";"Audit: Force audit policy subcategory settings (Windows Vista or later) to override audit policy category settings";"true";;;
"HAD-Security-Logs";"Auditing";;"Audit Credential Validation";"Success & Failure";;;
"HAD-Security-Logs";"Auditing";;"Audit Kerberos Authentication Service";"Success & Failure";;;
"HAD-Security-Logs";"Auditing";;"Audit Kerberos Service Ticket Operations";"Success & Failure";;;
"HAD-Security-Logs";"Auditing";;"Audit Other Account Logon Events";"Success & Failure";;;
"HAD-Security-Logs";"Auditing";;"Audit Application Group Management";"Success & Failure";;;
"HAD-Security-Logs";"Auditing";;"Audit Computer Account Management";"Success & Failure";;;
"HAD-Security-Logs";"Auditing";;"Audit Distribution Group Management";"Success & Failure";;;
"HAD-Security-Logs";"Auditing";;"Audit Other Account Management Events";"Success & Failure";;;
"HAD-Security-Logs";"Auditing";;"Audit Security Group Management";"Success & Failure";;;
"HAD-Security-Logs";"Auditing";;"Audit User Account Management";"Success & Failure";;;
"HAD-Security-Logs";"Auditing";;"Audit DPAPI Activity";"Success & Failure";;;
"HAD-Security-Logs";"Auditing";;"Audit PNP Activity";"Success";;;
"HAD-Security-Logs";"Auditing";;"Audit Process Creation";"Success & Failure";;;
"HAD-Security-Logs";"Auditing";;"Audit Process Termination";"No auditing";;;
"HAD-Security-Logs";"Auditing";;"Audit RPC Events";"No auditing";;;
"HAD-Security-Logs";"Auditing";;"Audit Token Right Adjusted";"No auditing";;;
"HAD-Security-Logs";"Auditing";;"Audit Detailed Directory Service Replication";"Success & Failure";;;
