"GPOName";"SettingCategory";"SettingPath";"SettingName";"SettingStatus";"Type";"Statement";"Value"
"HAD-Windows-Defender-Config";"Administrative Templates";"Windows Components/Microsoft Defender Antivirus";"Configure detection for potentially unwanted applications";"Enabled";"DropDownList";;
"HAD-Windows-Defender-Config";"Administrative Templates";"Windows Components/Microsoft Defender Antivirus";"Turn off Microsoft Defender Antivirus";"Disabled";;;
"HAD-Windows-Defender-Config";"Administrative Templates";"Windows Components/Microsoft Defender Antivirus/MAPS";"Configure local setting override for reporting to Microsoft MAPS";"Disabled";;;
"HAD-Windows-Defender-Config";"Administrative Templates";"Windows Components/Microsoft Defender Antivirus/MAPS";"Configure the 'Block at First Sight' feature";"Enabled";;;
"HAD-Windows-Defender-Config";"Administrative Templates";"Windows Components/Microsoft Defender Antivirus/MAPS";"Join Microsoft MAPS";"Disabled";;;
"HAD-Windows-Defender-Config";"Administrative Templates";"Windows Components/Microsoft Defender Antivirus/MpEngine";"Select cloud protection level";"Enabled";"DropDownList";"Select cloud blocking level";"High blocking level"
"HAD-Windows-Defender-Config";"Administrative Templates";"Windows Components/Microsoft Defender Antivirus/Real-time Protection";"Monitor file and program activity on your computer";"Enabled";;;
"HAD-Windows-Defender-Config";"Administrative Templates";"Windows Components/Microsoft Defender Antivirus/Real-time Protection";"Scan all downloaded files and attachments";"Enabled";;;
"HAD-Windows-Defender-Config";"Administrative Templates";"Windows Components/Microsoft Defender Antivirus/Real-time Protection";"Turn off real-time protection";"Disabled";;;
"HAD-Windows-Defender-Config";"Administrative Templates";"Windows Components/Microsoft Defender Antivirus/Real-time Protection";"Turn on behavior monitoring";"Enabled";;;
"HAD-Windows-Defender-Config";"Administrative Templates";"Windows Components/Microsoft Defender Antivirus/Real-time Protection";"Turn on process scanning whenever real-time protection is enabled";"Enabled";;;
"HAD-Windows-Defender-Config";"Administrative Templates";"Windows Components/Microsoft Defender Antivirus/Reporting";"Configure Watson events";"Disabled";;;
"HAD-Windows-Defender-Config";"Administrative Templates";"Windows Components/Microsoft Defender Antivirus/Scan";"Scan removable drives";"Enabled";;;
"HAD-Windows-Defender-Config";"Administrative Templates";"Windows Components/Microsoft Defender Antivirus/Scan";"Turn on e-mail scanning";"Enabled";;;
